Donor,Acceptor,Triplet_BL,Singlet_BL
9,1,1.4310735348353547,1.4310735348353547
11,1,1.436895316659172,1.436895316659172
1,1,1.4297161597523473,1.4297161597523473
5,1,1.4355464953748445,1.4355464953748445
10,1,1.4289890308551034,1.4289890308551034
4,1,1.430882434879991,1.430882434879991
6,1,1.4296927398023715,1.4296927398023715
2,1,1.430302260696266,1.430302260696266
7,1,1.429608323395382,1.429608323395382
3,1,1.4432904151838823,1.4432904151838823
8,1,1.4363605291944233,1.4363605291944233
4,2,1.431020605350245,1.431020605350245
1,2,1.4295478112650328,1.4295478112650328
3,2,1.430202463341393,1.430202463341393
7,2,1.430592588404067,1.430592588404067
2,2,1.430353687792472,1.430353687792472
9,2,1.4315968708325781,1.4315968708325781
6,2,1.4301610716229252,1.4301610716229252
10,2,1.429091947052097,1.429091947052097
8,2,1.4366608841908561,1.4366608841908561
11,2,1.437569409560755,1.437569409560755
5,2,1.4352867779389253,1.4352867779389253
5,3,1.430984529764179,1.430984529764179
4,3,1.426688749251408,1.426688749251408
3,3,1.4255503313566653,1.4255503313566653
7,3,1.4254709340817089,1.4254709340817089
1,3,1.4250920709564407,1.4250920709564407
9,3,1.4275931501177705,1.4275931501177705
10,3,1.424912077643745,1.424912077643745
8,3,1.4325724048275823,1.4325724048275823
2,3,1.425871047633745,1.425871047633745
6,3,1.4255244436024097,1.4255244436024097
11,3,1.4333220449018715,1.4333220449018715
7,4,1.4148777306516689,1.4148777306516689
1,4,1.4161136498980131,1.4161136498980131
3,4,1.4098921161906321,1.4098921161906321
10,4,1.4123908009737363,1.4123908009737363
9,4,1.4195556215075615,1.4195556215075615
5,4,1.4226604752874377,1.4226604752874377
4,4,1.4188212148144785,1.4188212148144785
2,4,1.415757865240527,1.415757865240527
6,4,1.417449127198553,1.417449127198553
11,4,1.42584768973989,1.42584768973989
8,4,1.4251713576241578,1.4251713576241578
5,5,1.4276634005231628,1.4276634005231628
2,5,1.4213711769862234,1.4213711769862234
10,5,1.422927547083447,1.422927547083447
7,5,1.423744788084741,1.423744788084741
4,5,1.4224421525918964,1.4224421525918964
3,5,1.4112668026502049,1.4112668026502049
1,5,1.4219131574748958,1.4219131574748958
9,5,1.4254623750955318,1.4254623750955318
8,5,1.4283244153371666,1.4283244153371666
11,5,1.4285086260219544,1.4285086260219544
6,5,1.4236458711610205,1.4236458711610205
8,6,1.411082841574348,1.411082841574348
4,6,1.4011298794793585,1.4011298794793585
10,6,1.399911170949238,1.399911170949238
1,6,1.4006130279415436,1.4006130279415436
6,6,1.4001475098943845,1.4001475098943845
11,6,1.4128035977461308,1.4128035977461308
3,6,1.4533348644087645,1.4533348644087645
2,6,1.401019184578889,1.401019184578889
7,6,1.400442027560274,1.400442027560274
9,6,1.4065466851767792,1.4065466851767792
5,6,1.4112674212538627,1.4112674212538627
2,7,1.4113480154364262,1.4113480154364262
6,7,1.410037942493007,1.410037942493007
9,7,1.4171537171566444,1.4171537171566444
10,7,1.410545595283578,1.410545595283578
5,7,1.4211564506538004,1.4211564506538004
3,7,1.4696724813266413,1.4696724813266413
11,7,1.422831375712155,1.422831375712155
8,7,1.4215586661236426,1.4215586661236426
4,7,1.4120350597539226,1.4120350597539226
7,7,1.4098651003156262,1.4098651003156262
1,7,1.4100638227561757,1.4100638227561757
4,8,1.420770541175568,1.420770541175568
7,8,1.421321989846544,1.421321989846544
6,8,1.4187159333542125,1.4187159333542125
8,8,1.4252557304381452,1.4252557304381452
11,8,1.424237798109664,1.424237798109664
2,8,1.4195057811824856,1.4195057811824856
9,8,1.420455576969098,1.420455576969098
5,8,1.4242780067771732,1.4242780067771732
1,8,1.4191792965186725,1.4191792965186725
10,8,1.4190097714998948,1.4190097714998948
3,8,1.4562370436773386,1.4562370436773386
6,9,1.419088550366242,1.419088550366242
11,9,1.4239947771931545,1.4239947771931545
1,9,1.4178169548769397,1.4178169548769397
9,9,1.419766061545451,1.419766061545451
2,9,1.4192785796974174,1.4192785796974174
7,9,1.4194657088685607,1.4194657088685607
5,9,1.4257618865096384,1.4257618865096384
4,9,1.4189803674173191,1.4189803674173191
8,9,1.4243383090376862,1.4243383090376862
3,9,1.4195125180456964,1.4195125180456964
10,9,1.4180552715747903,1.4180552715747903
5,10,1.4216628047509197,1.4216628047509197
1,10,1.4187628712836324,1.4187628712836324
11,10,1.4262073581010897,1.4262073581010897
8,10,1.424595818772612,1.424595818772612
9,10,1.419231869188398,1.419231869188398
3,10,1.4169733905947044,1.4169733905947044
4,10,1.4169711203525144,1.4169711203525144
6,10,1.4165040746459103,1.4165040746459103
7,10,1.417008010692943,1.417008010692943
10,10,1.415583206385099,1.415583206385099
2,10,1.419406681583805,1.419406681583805
3,11,1.4064904339773665,1.4064904339773665
8,11,1.412823737273307,1.412823737273307
11,11,1.416042360857619,1.416042360857619
6,11,1.4059393317935667,1.4059393317935667
2,11,1.4068182586348643,1.4068182586348643
7,11,1.4065289111758337,1.4065289111758337
9,11,1.4074503950984822,1.4074503950984822
4,11,1.405754532812591,1.405754532812591
10,11,1.4034216976033966,1.4034216976033966
1,11,1.4059542127313132,1.4059542127313132
5,11,1.4136677141396752,1.4136677141396752
5,12,1.4447814973983129,1.4447814973983129
3,12,1.4005979621031233,1.4005979621031233
8,12,1.4441953064040878,1.4441953064040878
7,12,1.4395065942416054,1.4395065942416054
11,12,1.4449721465985317,1.4449721465985317
4,12,1.4410033180848585,1.4410033180848585
2,12,1.4395242517197062,1.4395242517197062
6,12,1.4390382870984813,1.4390382870984813
10,12,1.438650579516093,1.438650579516093
1,12,1.4392808692854913,1.4392808692854913
