Donor,HOMO,LUMO,Gap,Halfway
1,-7.45790593480865,-0.2909985517247,7.1669073830839505,-3.874452243266675
2,-7.7124956533364495,-0.6745158126194001,7.03797984071705,-4.193505732977925
3,-7.5804932244589,-0.40106860425195,7.17942462020695,-3.990780914355425
4,-7.821096291071,-0.8902476732958001,6.9308486177752,-4.3556719821834005
5,-6.8030639535804,0.8766964035409,7.6797603571213005,-2.96318377501975
6,-7.506913639283701,-0.32634614090465003,7.180567498379051,-3.916629890094175
7,-7.51009737133455,-0.3325775480811,7.17751982325345,-3.921337459707825
8,-6.98480879432935,0.13088676209050001,7.11569555641985,-3.426961016119425
9,-7.1681863181813,0.41551784971350003,7.5837041678948,-3.3763342342339002
10,-7.4762191969473,0.7291562737998,8.2053754707471,-3.3735314615737497
11,-7.88202258219795,0.8427910177686,8.72481359996655,-3.519615782214675
