Donor,Acceptor,wB97X HOMO,wB97X LUMO,wB97X HLGap,GFN2 HOMO,GFN2 LUMO,GFN2 HLGap
10,1,-6.18365119568725,-1.54998770383305,4.6336634918542,-9.2541,-8.4980,0.7561
10,10,-6.2951906630072,-1.7726584676972,4.522532195309999,-9.3937,-8.7191,0.6746000000000016
10,11,-5.6433963569045495,-1.4848980707934498,4.158498286111098,-8.9902,-8.4567,0.5335000000000001
10,12,-6.6012098992795005,-1.6033764413011502,4.997833457978349,-9.5289,-8.5954,0.9335000000000004
10,2,-6.073608354545049,-1.5980702212164002,4.475538133328651,-9.2913,-8.6464,0.6448999999999998
10,3,-6.2178831180801515,-1.92403540273035,4.2938477153498,-9.4846,-8.9686,0.516
10,4,-5.5771366343077995,-2.2831984740053,3.2939381603025004,-9.0881,-8.8048,0.28330000000000055
10,5,-4.873314159989549,-2.96220416515795,1.9111099948316004,-8.7723,-7.9096,0.8626999999999994
10,6,-5.6348247706138,-2.17965915389005,3.4551656167237503,-9.1519,-8.8244,0.3274999999999988
10,7,-5.62347762304795,-2.8552362105263995,2.7682414125215504,-9.2594,-9.0559,0.20350000000000001
10,8,-6.19948822178635,-0.8950912998346999,5.304396921951651,-9.2633,-8.1621,1.1011999999999986
10,9,-6.18854924499625,-0.9988755224154,5.189673722580849,-9.2530,-8.2136,1.0394000000000005
11,1,-6.8271188179646005,-1.5302594496718,5.296859368292799,-9.5311,-8.4626,1.0685000000000002
11,10,-6.710898992416049,-1.5645457948348,5.14635319758125,-9.6037,-8.6318,0.9718999999999998
11,11,-6.2543463740471505,-1.3245413786937998,4.92980499535335,-9.2801,-8.4244,0.8556999999999988
11,12,-7.0158025619013005,-1.5538789318952,5.4619236300061,-9.7168,-8.5735,1.1433
11,2,-6.609591005874901,-1.5332527020273,5.076338303847599,-9.5500,-8.6246,0.9254000000000016
11,3,-6.7822744554022005,-1.8603879730983999,4.921886482303798,-9.7623,-8.9844,0.7778999999999989
11,4,-6.238536559333099,-2.1181070009069503,4.1204295584261486,-9.3274,-8.7999,0.5275000000000016
11,5,-4.871409363036051,-3.2502366759122,1.6211726871238508,-9.0691,-7.8384,1.2307000000000006
11,6,-6.3322797808303495,-2.0002272808703503,4.33205249996,-9.3854,-8.7950,0.5904000000000007
11,7,-6.2998165984657,-2.6708246540425495,3.62899194442315,-9.4699,-9.0690,0.40090000000000003
11,8,-6.79149911493415,-0.77908916536655,6.0124099495675996,-9.5800,-8.0543,1.5257000000000005
11,9,-6.75873660733395,-0.8962886007769001,5.86244800655705,-9.5536,-8.0946,1.4589999999999996
1,1,-6.2956532565530505,-1.5585048673536999,4.7371483891993496,-9.2091,-8.4916,0.7174999999999994
1,10,-6.3198986006326,-1.6868337592495002,4.633064841383098,-9.3341,-8.5990,0.7350999999999992
1,11,-5.66255317197975,-1.51793269224415,4.1446204797356,-8.9420,-8.4442,0.4977999999999998
1,12,-6.5956587767293,-1.5344227915844502,5.061235985144849,-9.4554,-8.5548,0.900599999999999
1,2,-6.0854453070418,-1.5862604801047,4.4991848269371,-9.2398,-8.6252,0.6146000000000011
1,3,-6.226944509301799,-1.90346359563255,4.3234809136692505,-9.4367,-8.9274,0.5092999999999996
1,4,-5.6227429156516,-2.2098637912955503,3.4128791243560497,-9.0366,-8.7690,0.26759999999999984
1,5,-4.8786748028444,-2.92655725074245,1.9521175521019496,-8.7507,-7.9639,0.7868000000000004
1,6,-5.6022799540940005,-2.1878497807901,3.4144301733039004,-9.0803,-8.7894,0.2908999999999988
1,7,-5.58930012342515,-2.8494401855107503,2.7398599379143995,-9.1950,-9.0043,0.19069999999999965
1,8,-6.17782795928655,-1.0159642722268,5.16186368705975,-9.1875,-8.2548,0.9327000000000005
1,9,-6.178127284522099,-1.0886186703103,5.0895086142118,-9.1689,-8.2819,0.8870000000000005
2,1,-6.44847239499385,-1.7092015177606,4.73927087723325,-9.5833,-8.8444,0.7388999999999992
2,10,-6.53968495768145,-1.8879803175391,4.651704640142349,-9.6192,-9.0017,0.6174999999999997
2,11,-5.88149597609205,-1.6966026464824502,4.184893329609601,-9.2690,-8.7776,0.4914000000000005
2,12,-6.7640156160336495,-1.68256157179665,5.081454044237,-9.7257,-8.7961,0.9296000000000006
2,2,-6.3621034588451515,-1.7808218832121998,4.581281575632952,-9.5933,-8.9527,0.6405999999999992
2,3,-6.474159942481049,-2.09655558394735,4.3776043585337,-9.7717,-9.2426,0.5290999999999997
2,4,-5.8396992886552495,-2.36159447433435,3.4781048143208992,-9.3349,-9.0252,0.3096999999999994
2,5,-5.0778893527954505,-3.0426954421358503,2.0351939106596,-9.0608,-8.3191,0.7416999999999998
2,6,-5.8177397009198994,-2.3361518293126,3.4815878716072994,-9.3774,-9.0543,0.32310000000000016
2,7,-5.842665329625699,-2.94179562637045,2.9008697032552493,-9.4801,-9.2489,0.2311999999999994
2,8,-6.4102948217687015,-1.2607851035216497,5.14950971824705,-9.5419,-8.6854,0.8565000000000005
2,9,-6.3823759407074006,-1.3441607873148502,5.038215153392549,-9.4926,-8.6669,0.8256999999999994
3,1,-6.4610168435019,-1.7232970152165,4.7377198282854005,-9.4150,-8.6787,0.7363
3,10,-6.33168113035925,-1.8636805506894496,4.4680005796698,-9.5203,-8.8253,0.6950000000000003
3,11,-5.8795367563684495,-1.7106981439383502,4.1688386124301005,-9.1175,-8.6210,0.4964999999999993
3,12,-6.771199421686849,-1.6587516098778998,5.11244781180895,-9.5998,-8.6779,0.9219000000000008
3,2,-6.2377746405517005,-1.69877955728645,4.53899508326525,-9.4392,-8.8094,0.6297999999999995
3,3,-6.320850999109349,-2.0028667852202,4.31798421388915,-9.6192,-9.1018,0.5173999999999985
3,4,-5.850801533755651,-2.3660571414825498,3.4847443922731,-9.2096,-8.9109,0.2987000000000002
3,5,-4.997207596122201,-3.0890092194909498,1.9081983766312505,-8.8662,-8.1468,0.7193999999999985
3,6,-5.82642013275085,-2.33373001604315,3.4926901167077005,-9.2585,-8.9540,0.3044999999999991
